Generator,Intensity
Black Coal,900
Brown Coal,850
Gas,400
Liquid Fuel,600
Existing Pumped Hydro,0.00
Existing Utility Solar,0.00
Existing Wind,0.00
Existing Hydro,0.00
Existing Battery Storage,0.00
OCGT (small GT),541.60
OCGT (large GT),580.98
CCGT,377.67
CCGT with CCS,57.45
Biomass,20.84
Utility Solar,0.00
Planned Utility Solar,0.00
Solar Thermal (15hrs storage),0.00
Battery Storage,0.00
Battery Storage (1hr storage),0.00
Battery Storage (2hrs storage),0.00
Battery Storage (4hrs storage),0.00
Battery Storage (8hrs storage),0.00
CER,0.00
Wind,0.00
Planned Wind,0.00
Wind - offshore (fixed),0.00
Wind - offshore (floating),0.00
Pumped Hydro (8hrs storage),0.00
Pumped Hydro (24hrs storage),0.00
Pumped Hydro (48hrs storage),0.00
BOTN - Cethana,0.00
Penalty,0.00
Augmentation,0.00
