Generator,Intensity
Bayswater,889.20
Eraring,878.94
Mt Piper,801.16
Vales Point B,944.70
Callide B,942.84
Callide C,873.95
Gladstone,985.80
Kogan Creek,861.93
Millmerran,825.25
Stanwell,863.46
Tarong,886.60
Tarong North,886.60
Loy Yang A Power Station,1168.86
Loy Yang B,1111.15
Yallourn W,1286.60
Tallawarra,370.97
Condamine A,448.78
Darling Downs,420.67
Swanbank E GT,393.98
Townsville Power Station,571.81
Yarwun Cogen,458.81
Osborne,414.67
Pelican Point,400.25
Tamar Valley Combined Cycle,618.77
Colongra,625.45
Smithfield Energy Facility,704.97
Uranquinty,564.22
Barcaldine Power Station,793.26
Braemar,616.53
Braemar 2 Power Station,616.53
Mt Stuart,1001.63
Oakey Power Station,663.68
Roma,649.90
Dry Creek GT,892.19
Hallett GT,642.66
Ladbroke Grove,516.24
Mintaro GT,693.54
Port Lincoln GT,1334.59
Quarantine,603.98
Snapper Point Power Station,541.60
Snuggery,1106.88
Bell Bay Three,618.77
Tamar Valley Peaking,618.77
Bairnsdale,537.05
Jeeralang A,757.96
Jeeralang B,757.96
Laverton North,638.18
Mortlake,467.11
Somerton,732.59
Valley Power,805.78
Torrens Island B,593.04
Newport,532.54
Angaston,685.76
Barker Inlet Power Station,567.51
Lonsdale,657.98
Port Stanvac 1,657.98
Kurri Kurri OCGT,580.98
Tallawarra B,580.98
Bolivar Power Station,541.60
Kogan Gas,580.98
SA Hydrogen Turbine,580.98
Existing Pumped Hydro,0.00
Existing Utility Solar,0.00
Existing Wind,0.00
Existing Hydro,0.00
Existing Battery Storage,0.00
OCGT (small GT),541.60
OCGT (large GT),580.98
CCGT,377.67
CCGT with CCS,57.45
Biomass,20.84
Utility Solar,0.00
Solar Thermal (15hrs storage),0.00
Battery Storage,0.00
Battery Storage (1hr storage),0.00
Battery Storage (2hrs storage),0.00
Battery Storage (4hrs storage),0.00
Battery Storage (8hrs storage),0.00
Wind,0.00
Wind - offshore (fixed),0.00
Wind - offshore (floating),0.00
Pumped Hydro (8hrs storage),0.00
Pumped Hydro (24hrs storage),0.00
Pumped Hydro (48hrs storage),0.00
BOTN - Cethana,0.00
Hydrogen reciprocating engines,0.00
