Generator,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
OCGT (small GT),QLD,Gas,NQ,QLD new OCGT,16.20,15.35,14.07,12.76,13.14,14.46,14.93,15.33,16.03,16.80,17.49,17.63,17.36,17.01,17.11,17.39,17.37,17.06,16.99,17.06,17.02,17.01,16.96,16.87,16.92,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
OCGT (small GT),QLD,Gas,CQ,QLD new OCGT,16.20,15.35,14.07,12.76,13.14,14.46,14.93,15.33,16.03,16.80,17.49,17.63,17.36,17.01,17.11,17.39,17.37,17.06,16.99,17.06,17.02,17.01,16.96,16.87,16.92,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
OCGT (small GT),QLD,Gas,GG,QLD new OCGT,16.20,15.35,14.07,12.76,13.14,14.46,14.93,15.33,16.03,16.80,17.49,17.63,17.36,17.01,17.11,17.39,17.37,17.06,16.99,17.06,17.02,17.01,16.96,16.87,16.92,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
OCGT (small GT),QLD,Gas,SQ,QLD new OCGT,16.20,15.35,14.07,12.76,13.14,14.46,14.93,15.33,16.03,16.80,17.49,17.63,17.36,17.01,17.11,17.39,17.37,17.06,16.99,17.06,17.02,17.01,16.96,16.87,16.92,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
OCGT (small GT),NSW,Gas,NNSW,NSW new OCGT,18.96,18.23,17.59,15.35,14.22,15.38,15.71,16.02,16.60,17.16,17.61,17.69,17.47,17.19,17.31,17.54,17.51,17.28,17.24,17.30,17.31,17.34,17.32,17.29,17.40,17.46,17.88,18.22,18.39,18.70,19.30,19.35 
OCGT (small GT),NSW,Gas,CNSW,NSW new OCGT,18.96,18.23,17.59,15.35,14.22,15.38,15.71,16.02,16.60,17.16,17.61,17.69,17.47,17.19,17.31,17.54,17.51,17.28,17.24,17.30,17.31,17.34,17.32,17.29,17.40,17.46,17.88,18.22,18.39,18.70,19.30,19.35 
OCGT (small GT),NSW,Gas,SNW,NSW new OCGT,18.96,18.23,17.59,15.35,14.22,15.38,15.71,16.02,16.60,17.16,17.61,17.69,17.47,17.19,17.31,17.54,17.51,17.28,17.24,17.30,17.31,17.34,17.32,17.29,17.40,17.46,17.88,18.22,18.39,18.70,19.30,19.35 
OCGT (small GT),NSW,Gas,SNSW,NSW new OCGT,18.96,18.23,17.59,15.35,14.22,15.38,15.71,16.02,16.60,17.16,17.61,17.69,17.47,17.19,17.31,17.54,17.51,17.28,17.24,17.30,17.31,17.34,17.32,17.29,17.40,17.46,17.88,18.22,18.39,18.70,19.30,19.35 
OCGT (small GT),VIC,Gas,VIC,VIC new OCGT,17.61,16.99,16.45,14.25,13.09,14.18,14.55,14.88,15.48,16.07,16.56,16.66,16.46,16.18,16.33,16.60,16.60,16.40,16.38,16.47,16.51,16.59,16.62,16.59,16.69,16.73,17.22,17.61,17.78,18.11,18.76,18.82 
OCGT (small GT),SA,Gas,CSA,SA new OCGT,18.06,17.32,16.32,14.13,13.48,14.70,15.05,15.36,15.93,16.47,16.91,17.00,16.79,16.51,16.65,16.91,16.90,16.69,16.67,16.75,16.78,16.83,16.83,16.81,16.92,16.98,17.45,17.82,18.00,18.33,18.97,19.03 
OCGT (small GT),SA,Gas,SESA,SA new OCGT,18.06,17.32,16.32,14.13,13.48,14.70,15.05,15.36,15.93,16.47,16.91,17.00,16.79,16.51,16.65,16.91,16.90,16.69,16.67,16.75,16.78,16.83,16.83,16.81,16.92,16.98,17.45,17.82,18.00,18.33,18.97,19.03 
OCGT (small GT),TAS,Gas,TAS,TAS new OCGT,19.17,18.47,17.90,15.39,13.84,14.89,15.23,15.55,16.13,16.70,17.16,17.24,17.03,16.74,16.87,17.12,17.11,16.90,16.87,16.95,16.98,17.06,17.08,17.05,17.14,17.16,17.60,17.96,18.12,18.43,19.04,19.09 
OCGT (large GT),QLD,Gas,NQ,QLD new OCGT,16.20,15.35,14.07,12.76,13.14,14.46,14.93,15.33,16.03,16.80,17.49,17.63,17.36,17.01,17.11,17.39,17.37,17.06,16.99,17.06,17.02,17.01,16.96,16.87,16.92,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
OCGT (large GT),QLD,Gas,CQ,QLD new OCGT,16.20,15.35,14.07,12.76,13.14,14.46,14.93,15.33,16.03,16.80,17.49,17.63,17.36,17.01,17.11,17.39,17.37,17.06,16.99,17.06,17.02,17.01,16.96,16.87,16.92,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
OCGT (large GT),QLD,Gas,GG,QLD new OCGT,16.20,15.35,14.07,12.76,13.14,14.46,14.93,15.33,16.03,16.80,17.49,17.63,17.36,17.01,17.11,17.39,17.37,17.06,16.99,17.06,17.02,17.01,16.96,16.87,16.92,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
