Name,ID,Min,Date From
N10_Augmentation 2,N10,2000,1/12/2028
N2 Option 1,N2,1000,1/07/2030
N2_Augmentation 2,N2,2000,1/09/2028
N2_Augmentation 3,N2,3000,1/07/2034
N3_Augmentation 2,N3,3000,1/07/2028
N3_Augmentation 3,N3,1500,1/12/2028
N5_Augmentation 2,N5,800,1/03/2027
N5_Augmentation 3,N5,800,1/07/2029
N5_Augmentation 6,N5,900,1/12/2029
N6_Augmentation 1,N6,1500,1/07/2029
N9 Option 2,N9,500,1/07/2030
Q2_Augmentation 2,Q2,1500,1/12/2029
S2_Augmentation 2,S2,800,1/03/2027
T3 Option 1,T3,690,1/07/2029
V2_Augmentation 2,V2,400,1/03/2027
V2_Augmentation 3,V2,112,1/10/2025
V2_Augmentation 4,V2,1580,1/12/2029
V6_Augmentation 2,V6,12,1/10/2025
